Ticker	Coingecko ID	Primary Chain	Contract address (referenced)
			
PUMP	pump-fun	platforms.solana	pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn
JITOSOL	jito-staked-sol	platforms.solana	J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn
TRUMP	official-trump	platforms.solana	6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN
RENDER	render-token	platforms.solana	rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof
JUP	jupiter-exchange-solana	platforms.solana	JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN
BONK	bonk	platforms.solana	DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263
PENGU	pudgy-penguins	platforms.solana	2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv
PYTH	pyth-network	platforms.solana	HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3
WIF	dogwifcoin	platforms.solana	EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm
HNT	helium	platforms.solana	hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux
RAY	raydium	platforms.solana	4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R
ZBCN	zebec-network	platforms.solana	ZBCNpuD7YMXzTHB2fhGkGi78MNsHGLRXUhRewNRm9RU
W	wormhole	platforms.solana	85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ
JTO	jito-governance-token	platforms.solana	jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL
FARTCOIN	fartcoin	platforms.solana	9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump
SAROS	saros-finance	platforms.solana	SarosY6Vscao718M4A778z4CGtvcwcGef5M9MEH1LGL
GRASS	grass	platforms.solana	Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs
MEW	cat-in-a-dogs-world	platforms.solana	MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5
POPCAT	popcat	platforms.solana	7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr
DRIFT	drift-protocol	platforms.solana	DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7
PNUT	peanut-the-squirrel	platforms.solana	2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump
ORCA	orca	platforms.solana	orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE
BOME	book-of-meme	platforms.solana	ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82
KMNO	kamino	platforms.solana	KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS
MET	meteora	platforms.solana	METvsvVRapdj9cFLzq4Tr43xK4tAjQfwX76z3n6mWQL
